mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.044580841064453126,0.0008412209946117219,0.002203369140625,0.00014220404948541495,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.04482975006103516,0.0013921542743808239,0.002174997329711914,0.00011214441561812747,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.045070314407348634,0.0011244628903859758,0.0022375106811523436,0.0001908987890584395,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.044228744506835935,0.00034983139181720167,0.0022163867950439455,9.490154433211814e-05,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.04487786293029785,0.000960279900642441,0.0021704673767089845,0.00010232147692076739,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.04388866424560547,5.348693264915101e-05,0.0021280288696289063,7.535182888370223e-05,entropy,3,12,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.044969797134399414,0.0013021947428807185,0.002164125442504883,0.0001059841785463468,entropy,3,14,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.043880367279052736,0.0002725684616488719,0.002128314971923828,6.256048998944074e-05,entropy,3,16,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 16}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.04510574340820313,0.0010433185841521248,0.002225971221923828,0.0001776208237484446,entropy,3,18,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 18}",0.6815670517327976,0.6850828729281768,0.6936212958312405,0.687594173782019,0.6909547738693468,0.6877640336287161,0.00424519501272389,82
0.0573481559753418,0.00024585363194533014,0.002129268646240234,3.8641289888087044e-05,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}",0.6901054746358614,0.6956303365143144,0.7066800602712205,0.6986438975389252,0.6894472361809045,0.6961014010282451,0.006305922054395564,37
0.057982683181762695,0.0006490082876083315,0.002189493179321289,9.30667893138159e-05,entropy,4,4,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4}",0.6901054746358614,0.6956303365143144,0.7066800602712205,0.6986438975389252,0.6894472361809045,0.6961014010282451,0.006305922054395564,37
0.05783271789550781,0.0010697322870712876,0.002206563949584961,6.526488143646465e-05,entropy,4,6,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 6}",0.6901054746358614,0.6956303365143144,0.7066800602712205,0.6986438975389252,0.6894472361809045,0.6961014010282451,0.006305922054395564,37
0.05748782157897949,0.0007660346071139328,0.0022002696990966798,0.000139612969065787,entropy,4,8,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8}",0.6901054746358614,0.6956303365143144,0.7066800602712205,0.6986438975389252,0.6894472361809045,0.6961014010282451,0.006305922054395564,37
0.05822148323059082,0.0011005215730039452,0.0021820068359375,7.492612534220646e-05,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",0.6901054746358614,0.6956303365143144,0.7066800602712205,0.6986438975389252,0.6894472361809045,0.6961014010282451,0.006305922054395564,37
